Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     46.19     0.00        9     0.00     0.00  char* std::string::_S_construct<char*>(char*, char*, std::allocator<char> const&, std::forward_iterator_tag)
  0.00     46.19     0.00        8     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::inputs()
  0.00     46.19     0.00        7     0.00     0.00  utils::Vector<double, 3>::toString() const
  0.00     46.19     0.00        6     0.00     0.00  PSE_Molekulardynamik_WS12::boundary_t::boundary_t(PSE_Molekulardynamik_WS12::boundary_t::value)
  0.00     46.19     0.00        6     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::dimensions()
  0.00     46.19     0.00        6     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::position()
  0.00     46.19     0.00        6     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::velocity()
  0.00     46.19     0.00        6     0.00     0.00  CppUnit::ConcretTestFixtureFactory<SimpleParticleContainerTest>::makeFixture()
  0.00     46.19     0.00        5     0.00     0.00  PSE_Molekulardynamik_WS12::boundary_t::~boundary_t()
  0.00     46.19     0.00        5     0.00     0.00  PSE_Molekulardynamik_WS12::decimalVector_t::x()
  0.00     46.19     0.00        5     0.00     0.00  PSE_Molekulardynamik_WS12::decimalVector_t::y()
  0.00     46.19     0.00        5     0.00     0.00  PSE_Molekulardynamik_WS12::decimalVector_t::z()
  0.00     46.19     0.00        5     0.00     0.00  PSE_Molekulardynamik_WS12::decimalVector_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        5     0.00     0.00  CppUnit::ConcretTestFixtureFactory<LinkedCellParticleContainerTest>::makeFixture()
  0.00     46.19     0.00        4     0.00     0.00  PSE_Molekulardynamik_WS12::boundary_t::~boundary_t()
  0.00     46.19     0.00        4     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::thermostat()
  0.00     46.19     0.00        4     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::gravitation()
  0.00     46.19     0.00        4     0.00     0.00  PSE_Molekulardynamik_WS12::nonNegativeDecimal_t::~nonNegativeDecimal_t()
  0.00     46.19     0.00        4     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::~positiveIntegerVector_t()
  0.00     46.19     0.00        4     0.00     0.00  PSE_Molekulardynamik_WS12::inputs_t::cuboid()
  0.00     46.19     0.00        4     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::boundary_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::boundary_t>)
  0.00     46.19     0.00        4     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::decimalVector_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::decimalVector_t>)
  0.00     46.19     0.00        4     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::nonNegativeDecimal_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::nonNegativeDecimal_t>)
  0.00     46.19     0.00        4     0.00     0.00  xsd::cxx::tree::traits<unsigned long long, char, (xsd::cxx::tree::schema_type::value)0>::create(std::string const&, xercesc_3_1::DOMElement const*, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        4     0.00     0.00  PSE_Molekulardynamik_WS12::decimalVector_t::_clone(xsd::cxx::tree::flags, xsd::cxx::tree::_type*) const
  0.00     46.19     0.00        3     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::potential()
  0.00     46.19     0.00        3     0.00     0.00  PSE_Molekulardynamik_WS12::domain_t::dimensions()
  0.00     46.19     0.00        3     0.00     0.00  PSE_Molekulardynamik_WS12::domain_t::y()
  0.00     46.19     0.00        3     0.00     0.00  PSE_Molekulardynamik_WS12::potential_t::_xsd_potential_t_convert() const
  0.00     46.19     0.00        2     0.00     0.13  generateCuboid(std::list<Particle, std::allocator<Particle> >&, utils::Vector<double, 3>, utils::Vector<double, 3>, utils::Vector<int, 3>, double, double, double, double, int)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::domain()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::thermostat_t::frequency()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::dimensionBoundaries_t::lower()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::dimensionBoundaries_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::dimensionBoundaries_t::upper()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::dimensionBoundaries_t::dimensionBoundaries_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::dimensionBoundaries_t::~dimensionBoundaries_t()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::x()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::y()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::z()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::positiveIntegerVector_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::positiveIntegerVector_t(PSE_Molekulardynamik_WS12::positiveIntegerVector_t const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::mass()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::type()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::sigma()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::epsilon()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::distance()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::cuboid_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::cuboid_t(PSE_Molekulardynamik_WS12::cuboid_t const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::~cuboid_t()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::cuboid_t::~cuboid_t()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::domain_t::x()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::inputs_t::sphere()
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::inputs_t::inputFile()
  0.00     46.19     0.00        2     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::positiveIntegerVector_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::positiveIntegerVector_t>)
  0.00     46.19     0.00        2     0.00     0.00  xsd::cxx::tree::sequence<PSE_Molekulardynamik_WS12::cuboid_t, false>::push_back(std::auto_ptr<PSE_Molekulardynamik_WS12::cuboid_t>)
  0.00     46.19     0.00        2     0.00     0.00  std::ostream& log4cxx::helpers::operator<< <PSE_Molekulardynamik_WS12::boundary_t>(log4cxx::helpers::CharMessageBuffer&, PSE_Molekulardynamik_WS12::boundary_t const&)
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::potential_t::operator PSE_Molekulardynamik_WS12::potential_t::value() const
  0.00     46.19     0.00        2     0.00     0.00  PSE_Molekulardynamik_WS12::positiveIntegerVector_t::_clone(xsd::cxx::tree::flags, xsd::cxx::tree::_type*) const
  0.00     46.19     0.00        2     0.00     0.05  std::_List_base<Particle, std::allocator<Particle> >::~_List_base()
  0.00     46.19     0.00        2     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::_M_insert_aux(__gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >, xsd::cxx::tree::sequence_common::ptr const&)
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _Z14generateCuboidRSt4listI8ParticleSaIS0_EEN5utils6VectorIdLi3EEES6_NS5_IiLi3EEEddddi
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _Z28MaxwellBoltzmannDistributionR8Particledi
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN10FileReader6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN10PhaseSpace6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN10Thermostat6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN12TestSettings7runTestEv
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN12outputWriter9VTKWriter6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN12outputWriter9XYZWriterC2Ev
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN15DataArrayList_tC2Ev
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN17ParticleContainer6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN21ParticleContainerTest5setUpEv
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN23SimpleParticleContainer6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN27LinkedCellParticleContainer6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN27SimpleParticleContainerTest22setUpParticleContainerEv
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN31LinkedCellParticleContainerTest22setUpParticleContainerEv
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN4CellC2Ev
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to _ZN8Particle6loggerE
  0.00     46.19     0.00        1     0.00     0.00  global constructors keyed to vtk_writer
  0.00     46.19     0.00        1     0.00     0.00  FileReader::FileReader()
  0.00     46.19     0.00        1     0.00     0.00  FileReader::~FileReader()
  0.00     46.19     0.00        1     0.00     0.00  PhaseSpace::PhaseSpace()
  0.00     46.19     0.00        1     0.00     0.00  PhaseSpace::~PhaseSpace()
  0.00     46.19     0.00        1     0.00     0.00  Thermostat::setFrequency(int)
  0.00     46.19     0.00        1     0.00     0.37  Thermostat::Thermostat(ParticleContainer&, double, int)
  0.00     46.19     0.00        1     0.00     0.00  TestSettings::getTestNames()
  0.00     46.19     0.00        1     0.00     0.00  outputWriter::VTKWriter::VTKWriter()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation(xercesc_3_1::InputSource&, xsd::cxx::tree::flags, xsd::cxx::tree::properties<char> const&)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation(xsd::cxx::xml::dom::auto_ptr<xercesc_3_1::DOMDocument>&, xsd::cxx::tree::flags, xsd::cxx::tree::properties<char> const&)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation(std::istream&, xsd::cxx::tree::flags, xsd::cxx::tree::properties<char> const&)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::potential_t::~potential_t()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::dimensionCount()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::outputPhaseSpace()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::t_end()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::output()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::delta_t()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::simulation_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::simulation_t::~simulation_t()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::thermostat_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::thermostat_t::initialT()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::thermostat_t::thermostat_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::thermostat_t::~thermostat_t()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::dimensionCount_t::~dimensionCount_t()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t::x()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t::y()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t::z()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t::nonNegativeIntegerVector_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t::~nonNegativeIntegerVector_t()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::domain_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::domain_t::cutoff()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::domain_t::domain_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::domain_t::~domain_t()
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::inputs_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::inputs_t::inputs_t(xercesc_3_1::DOMElement const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     46.19     0.00        1     0.00     0.00  PSE_Molekulardynamik_WS12::inputs_t::~inputs_t()
  0.00     46.19     0.00        1     0.00     0.64  LinkedCellParticleContainer::addParticles(std::list<Particle, std::allocator<Particle> >)
  0.00     46.19     0.00        1     0.00     0.00  LinkedCellParticleContainer::getDomainSize()
  0.00     46.19     0.00        1     0.00     0.00  LinkedCellParticleContainer::LinkedCellParticleContainer(utils::Vector<double, 3>, double)
  0.00     46.19     0.00        1     0.00     0.00  SimpleParticleContainerTest::addTestsToSuite(CppUnit::TestSuiteBuilderContextBase&)
  0.00     46.19     0.00        1     0.00     0.00  LinkedCellParticleContainerTest::addTestsToSuite(CppUnit::TestSuiteBuilderContextBase&)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::xml::dom::auto_ptr<xercesc_3_1::DOMDocument> xsd::cxx::xml::dom::parse<char>(xercesc_3_1::InputSource&, xercesc_3_1::DOMErrorHandler&, xsd::cxx::xml::properties<char> const&, unsigned long)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::potential_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::potential_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::dimensionCount_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::dimensionCount_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::dimensionBoundaries_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::dimensionBoundaries_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::nonNegativeIntegerVector_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::one<PSE_Molekulardynamik_WS12::inputs_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::inputs_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::optional<PSE_Molekulardynamik_WS12::thermostat_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::thermostat_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::optional<PSE_Molekulardynamik_WS12::decimalVector_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::decimalVector_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::optional<PSE_Molekulardynamik_WS12::dimensionBoundaries_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::dimensionBoundaries_t>)
  0.00     46.19     0.00        1     0.00     0.00  xsd::cxx::tree::optional<PSE_Molekulardynamik_WS12::domain_t, false>::set(std::auto_ptr<PSE_Molekulardynamik_WS12::domain_t>)
  0.00     46.19     0.00        1     0.00     0.21  std::list<Particle, std::allocator<Particle> >::list(std::list<Particle, std::allocator<Particle> > const&)
  0.00     46.19     0.00        1     0.00     0.00  std::list<Particle, std::allocator<Particle> >::~list()
  0.00     46.19     0.00        1     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::~vector()
  0.00     46.19     0.00        1     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::operator=(std::vector<Cell, std::allocator<Cell> > const&)
  0.00     46.19     0.00        1     0.00     0.00  std::vector<std::pair<Cell*, Cell*>, std::allocator<std::pair<Cell*, Cell*> > >::~vector()
  0.00     46.19     0.00        1     0.00     0.00  std::vector<std::pair<Cell*, Cell*>, std::allocator<std::pair<Cell*, Cell*> > >::operator=(std::vector<std::pair<Cell*, Cell*>, std::allocator<std::pair<Cell*, Cell*> > > const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.02% of 46.19 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   46.19                 main [1]
               16.28   21.61    2002/2002        LinkedCellParticleContainer::applyToParticlePairs(void (*)(Particle&, Particle&)) [2]
                1.58    2.60    6003/6003        LinkedCellParticleContainer::updateContainingCells() [5]
                0.33    2.64    8004/8046        LinkedCellParticleContainer::applyToSingleParticles(void (*)(Particle&)) [6]
                0.51    0.40    4002/4002        LinkedCellParticleContainer::applyToPeriodicBoundaryParticlePairs(int, void (*)(Particle&, Particle)) [8]
                0.00    0.19    4002/4002        LinkedCellParticleContainer::applyToBoundaryParticles(int, void (*)(Particle&)) [15]
                0.00    0.06    2001/2001        Thermostat::apply(int) [17]
                0.00    0.00       1/1           LinkedCellParticleContainer::addParticles(std::list<Particle, std::allocator<Particle> >) [26]
                0.00    0.00       1/1           Thermostat::Thermostat(ParticleContainer&, double, int) [27]
